IT_NO ID TOTAL_ASSETS LIQUIDITY LOANS MORTGAGES DEPOSITS CENTRALBANK_DEBT EQUITY
1 1638 236871.666667 0.000000 27266.666667 209605.000000 12936.300000 197879.483333 26055.883333
1 1637 225828.333333 0.000000 23433.333333 202395.000000 12124.050000 188863.166667 24841.116667
61 1637 222898.616678 0.000000 23609.083333 199289.533345 10500.882938 187556.617073 24841.116667
61 1638 231593.484729 0.000000 27471.166667 204122.318062 11408.569262 194129.032133 26055.883333
121 1638 226919.915027 0.000000 27471.166667 199448.748360 10324.753481 190539.278212 26055.883333
121 1637 225002.143565 0.000000 23609.083333 201393.060232 9087.254572 191073.772327 24841.116667
181 1637 224092.423027 0.000000 23609.240967 200483.182061 9164.746268 190086.560092 24841.116667
181 1638 228268.283198 0.000000 27471.166667 200797.116531 12143.455626 190068.944239 26055.883333
241 1638 231845.021050 0.000000 27480.756926 204364.264124 13515.271096 192273.866620 26055.883333
241 1637 222860.578719 0.000000 23609.240967 199251.337752 11084.257823 186935.204229 24841.116667
301 1637 223036.156939 0.000000 23609.240967 199426.915972 10936.241063 187258.799209 24841.116667
301 1638 231815.059520 0.000000 27480.756926 204334.302593 12475.802737 193283.373449 26055.883333
361 1638 233872.858740 0.000000 27480.756926 206392.101814 13132.919398 194684.056008 26055.883333
361 1637 222133.459595 0.000000 23609.240967 198524.218628 12495.846731 184796.496197 24841.116667
421 1637 223155.628671 0.000000 23622.885515 199532.743155 11739.593438 186574.918566 24841.116667
421 1638 233716.360594 0.000000 27483.538991 206232.821603 14546.194085 193114.283175 26055.883333
481 1638 229816.339642 0.000000 27205.369772 202610.969870 14502.584418 189257.871891 26055.883333
481 1637 223712.542402 0.000000 23622.885515 200089.656887 10282.612160 188588.813576 24841.116667
541 1637 224619.432365 0.000000 23743.795328 200875.637038 10063.272850 189715.042849 24841.116667
541 1638 227004.840366 0.000000 26511.205045 200493.635321 12542.713284 188406.243749 26055.883333
601 1638 225603.206828 0.000000 26747.039649 198856.167180 14144.806789 185402.516706 26055.883333
601 1637 225376.451631 0.000000 23743.795328 201632.656303 10560.336099 189974.998864 24841.116667
661 1637 225260.042246 0.000000 23743.795328 201516.246918 12728.813024 187690.112555 24841.116667
661 1638 227004.068397 0.000000 27105.839057 199898.229340 14490.846560 186457.338504 26055.883333
721 1638 223078.389962 0.000000 25931.258922 197147.131040 15445.683723 182132.797663 25499.908577
721 1637 226250.944046 0.000000 23097.941902 203153.002144 10923.932421 190485.894959 24841.116667
