IT_NO ID REVENUES INTERESTS_ACCRUED TOTAL_COSTS TOTAL_WRITEOFFS INTERESTS_PAID NET_EARNINGS RETAINED_EARNINGS TOTAL_DIVIDENDS
1 1638 2299.800000 2299.800000 1107.343500 0.000000 1107.343500 1192.456500 0.000000 0.000000
1 1637 2200.450000 2200.450000 1057.719750 0.000000 1057.719750 1142.730250 0.000000 0.000000
61 1637 545.469543 545.469543 236.188896 0.000000 236.188896 309.280647 0.000000 1142.730250
61 1638 580.884129 580.884129 247.239417 0.000000 247.239417 333.644713 0.000000 1192.456500
121 1638 1368.044390 1368.044390 242.614523 0.000000 242.614523 1125.429866 0.000000 333.644713
121 1637 1330.736653 1330.736653 234.465931 0.000000 234.465931 1096.270721 0.000000 309.280647
181 1637 1335.319189 1335.319189 235.518078 0.000000 235.518078 1099.801111 0.000000 1096.270721
181 1638 1360.437935 1360.437935 241.184924 0.000000 241.184924 1119.253012 0.000000 1125.429866
241 1638 1357.650483 1357.650483 238.678328 0.000000 238.678328 1118.972155 0.000000 1119.253012
241 1637 1345.989522 1345.989522 236.242885 0.000000 236.242885 1109.746638 0.000000 1099.801111
301 1637 1344.537887 1344.537887 235.814962 0.000000 235.814962 1108.722925 0.000000 1109.746638
301 1638 1362.902942 1362.902942 238.046642 0.000000 238.046642 1124.856300 0.000000 1118.972155
361 1638 1373.115769 1373.115769 1091.023917 851.784370 239.239547 282.091852 0.000000 1124.856300
361 1637 1328.769638 1328.769638 235.947505 0.000000 235.947505 1092.822132 0.000000 1108.722925
421 1637 1331.241926 1331.241926 232.339808 0.000000 232.339808 1098.902117 0.000000 1092.822132
421 1638 1370.113314 1370.113314 239.866922 0.000000 239.866922 1130.246392 0.000000 282.091852
481 1638 1371.910323 1371.910323 238.844813 0.000000 238.844813 1133.065510 0.000000 1130.246392
481 1637 1344.519982 1344.519982 233.261748 0.000000 233.261748 1111.258234 0.000000 1098.902117
541 1637 1351.014472 1351.014472 235.970193 0.000000 235.970193 1115.044279 0.000000 1111.258234
541 1638 1362.424393 1362.424393 237.498795 0.000000 237.498795 1124.925598 0.000000 1133.065510
601 1638 1348.936565 1348.936565 234.343063 0.000000 234.343063 1114.593502 0.000000 1124.925598
601 1637 1360.885187 1360.885187 237.521422 0.000000 237.521422 1123.363764 0.000000 1115.044279
661 1637 1348.536573 1348.536573 239.689641 0.000000 239.689641 1108.846932 0.000000 1123.363764
