IT ID Agent Writeoff_Type Bank Amount
481 5 Firm Insolvency 1638 864.430578
481 2 Firm Insolvency 1637 749.413742
481 1637 Bank Loans 1637 749.413742
481 1638 Bank Loans 1638 864.430578
601 3 Firm Insolvency 1638 733.681808
601 1638 Bank Loans 1638 733.681808
661 4 Firm Insolvency 1638 738.465962
661 1638 Bank Loans 1638 738.465962
781 1 Firm Insolvency 1638 918.194897
781 1638 Bank Loans 1638 918.194897
961 6 Firm Insolvency 1638 1210.801164
961 1638 Bank Loans 1638 1210.801164
1141 3 Firm Insolvency 1638 765.538033
1141 1638 Bank Loans 1638 765.538033
1261 5 Firm Insolvency 1638 996.321412
1261 1638 Bank Loans 1638 996.321412
1621 6 Firm Insolvency 1638 1380.552242
1621 4 Firm Insolvency 1638 1709.901664
1621 1638 Bank Loans 1638 1380.552242
1621 1638 Bank Loans 1638 1709.901664
1801 5 Firm Insolvency 1638 1064.021519
1801 1638 Bank Loans 1638 1064.021519
1981 1 Firm Insolvency 1638 1621.186358
1981 2 Firm Insolvency 1637 1060.393603
1981 6 Firm Insolvency 1638 943.965227
1981 1638 Bank Loans 1638 1621.186358
1981 1638 Bank Loans 1638 943.965227
1981 1637 Bank Loans 1637 1060.393603
2101 4 Firm Insolvency 1638 1019.072175
2101 1638 Bank Loans 1638 1019.072175
2161 3 Firm Insolvency 1638 1253.466481
2161 1638 Bank Loans 1638 1253.466481
2281 2 Firm Insolvency 1637 1015.760793
2281 1 Firm Insolvency 1638 903.229785
2281 1637 Bank Loans 1637 1015.760793
2281 1638 Bank Loans 1638 903.229785
2461 5 Firm Insolvency 1638 1052.962933
2461 4 Firm Insolvency 1638 1007.582160
2461 1638 Bank Loans 1638 1052.962933
2461 1638 Bank Loans 1638 1007.582160
2701 6 Firm Insolvency 1638 1049.113815
2701 1638 Bank Loans 1638 1049.113815
2761 3 Firm Insolvency 1638 1043.933506
2761 1638 Bank Loans 1638 1043.933506
2881 1 Firm Insolvency 1638 1095.839999
2881 1638 Bank Loans 1638 1095.839999
2941 2 Firm Insolvency 1637 994.331197
2941 1637 Bank Loans 1637 994.331197
3001 6 Firm Insolvency 1638 876.032849
3001 1638 Bank Loans 1638 876.032849
3181 4 Firm Insolvency 1638 1062.356720
3181 6 Firm Insolvency 1638 933.216611
3181 3 Firm Insolvency 1638 936.138508
3181 1638 Bank Loans 1638 1062.356720
3181 1638 Bank Loans 1638 933.216611
3181 1638 Bank Loans 1638 936.138508
3241 5 Firm Insolvency 1638 830.162959
3241 1638 Bank Loans 1638 830.162959
3301 2 Firm Insolvency 1637 974.665141
3301 1637 Bank Loans 1637 974.665141
3361 3 Firm Insolvency 1638 755.034752
3361 1638 Bank Loans 1638 755.034752
