IT_NO INTEREST_RATE INFLATION_RATE REVENUES TOTAL_COSTS NET_EARNINGS TOTAL_ASSETS LIQUIDITY LOANS_BANKS LOANS_GOVERNMENT EQUITY FIAT_MONEY LIQUIDITY_BANKS LIQUIDITY_GOVERNMENT LIQUIDITY_EQUITYFUND
60 0.020000 0.020000 2153.852650 0.000000 2153.852650 387010.491507 0.000000 384767.196667 2243.294840 0.000000 387010.491507 0.000000 0.000000 0.000000
120 0.005000 0.056487 480.958996 0.000000 480.958996 383225.959366 0.000000 378681.541229 4544.418137 0.000000 383225.959366 0.000000 0.000000 0.000000
180 0.014457 0.067138 1368.657867 0.000000 1368.657867 382515.384139 0.000000 378030.514862 4484.869277 0.000000 382515.384139 0.000000 0.000000 0.000000
240 0.036169 0.088488 3418.253947 0.000000 3418.253947 384091.331106 0.000000 378902.801022 5188.530084 0.000000 384091.331106 0.000000 0.000000 0.000000
300 0.011169 0.063204 1057.998887 0.000000 1057.998887 387337.542041 0.000000 380174.889212 7162.652829 0.000000 387337.542041 0.000000 0.000000 0.000000
360 0.005000 0.049393 475.218612 0.000000 475.218612 382102.258592 0.000000 375440.402483 6661.856110 0.000000 382102.258592 0.000000 0.000000 0.000000
420 0.005000 0.039658 469.300503 0.000000 469.300503 383711.862520 0.000000 375365.801165 8346.061355 0.000000 383711.862520 0.000000 0.000000 0.000000
480 0.005000 0.035404 469.207251 0.000000 469.207251 381788.255055 0.000000 373888.637690 7899.617365 0.000000 381788.255055 0.000000 0.000000 0.000000
540 0.005000 0.053062 467.360797 0.000000 467.360797 383069.902378 0.000000 374632.461415 8437.440964 0.000000 383069.902378 0.000000 0.000000 0.000000
600 0.007753 0.071211 726.162479 0.000000 726.162479 380624.857999 0.000000 374142.024196 6482.833803 0.000000 380624.857999 0.000000 0.000000 0.000000
660 0.005000 0.066284 467.677530 0.000000 467.677530 383554.346632 0.000000 376269.295688 7285.050944 0.000000 383554.346632 0.000000 0.000000 0.000000
720 0.005000 0.058181 470.336620 0.000000 470.336620 380490.604694 0.000000 375227.391569 5263.213125 0.000000 380490.604694 0.000000 0.000000 0.000000
