IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_HOUSE_PRICE
1 1 5.000000 20 29 2 2 1 20 100.000000
1 2 5.000000 20 29 2 2 1 20 100.000000
1 3 5.000000 20 28 2 2 1 19 100.000000
1 4 5.000000 20 29 2 2 1 20 100.000000
1 5 5.000000 20 29 2 2 1 20 100.000000
1 6 5.000000 20 29 2 2 1 20 100.000000
21 6 5.050000 29 29 1 3 2 20 100.953696
21 5 5.050000 29 29 1 3 2 20 100.953696
21 4 5.050000 29 29 2 2 2 20 100.953696
21 3 5.050000 28 28 2 2 2 19 100.953696
21 2 5.050000 29 29 1 2 1 20 100.953696
21 1 5.050000 29 29 2 2 2 20 100.953696
41 1 5.050000 29 29 2 2 2 20 102.211036
41 6 5.050000 29 29 3 2 2 20 102.211036
41 5 5.050000 29 28 3 2 2 19 102.211036
41 4 5.050000 29 29 2 2 2 20 102.211036
41 3 5.050000 28 29 2 1 1 20 102.211036
41 2 5.050000 29 29 2 2 2 20 102.211036
61 2 5.050000 29 29 2 2 2 20 103.376715
61 4 5.050000 29 29 2 2 2 20 103.376715
61 6 5.050000 29 29 1 3 2 20 103.376715
61 1 5.050000 29 29 2 2 2 20 103.376715
61 3 5.050000 29 26 1 1 1 18 103.376715
61 5 5.050000 28 28 2 2 2 19 103.376715
81 2 5.050000 29 28 2 2 2 19 104.661252
81 4 5.050000 29 29 1 3 2 20 104.661252
81 6 5.050000 29 28 3 2 2 19 104.661252
81 1 5.050000 29 25 2 2 2 17 104.661252
81 5 5.050000 28 26 2 2 2 18 104.661252
81 3 5.050000 26 26 1 2 2 18 104.661252
101 6 5.050000 28 28 2 2 2 19 105.914801
101 3 5.050000 26 28 2 2 2 19 105.914801
101 4 5.050000 29 29 3 2 2 20 105.914801
101 2 5.050000 28 26 2 2 2 18 105.914801
101 1 5.050000 25 28 1 3 2 19 105.914801
101 5 5.050000 26 26 2 2 2 18 105.914801
121 2 5.050000 26 29 2 2 2 20 107.081282
121 5 5.050000 26 25 2 2 2 17 107.081282
121 4 5.050000 29 29 2 2 2 20 107.081282
121 6 5.050000 28 29 2 2 2 20 107.081282
121 3 5.139278 28 22 1 3 2 15 107.081282
121 1 5.139278 28 29 3 2 2 20 107.081282
141 3 5.139278 22 25 2 3 2 17 108.085534
141 1 5.139278 29 26 2 2 2 18 108.085534
141 6 5.162571 29 23 1 3 2 16 108.085534
141 2 5.162571 29 28 2 2 2 19 108.085534
141 4 5.050000 29 29 2 2 2 20 108.085534
141 5 5.050000 25 25 2 2 2 17 108.085534
161 3 5.139278 25 23 2 3 2 16 109.071560
161 4 5.050000 29 28 2 2 2 19 109.071560
161 5 5.050000 25 22 2 2 2 15 109.071560
161 1 5.139278 26 23 0 4 2 16 109.071560
161 6 5.162571 23 22 0 5 2 15 109.071560
161 2 5.162571 28 23 2 2 2 16 109.071560
181 1 5.139278 23 18 3 3 2 12 109.919126
181 5 5.050000 22 25 1 3 2 17 109.919126
181 4 5.050000 28 26 2 2 2 18 109.919126
181 3 5.139278 23 29 2 2 1 20 109.919126
181 6 5.162571 22 23 4 3 2 16 109.919126
181 2 5.162571 23 26 0 4 2 18 109.919126
201 3 5.197231 29 20 2 2 2 14 110.839770
201 2 5.162571 26 19 3 3 2 13 110.839770
201 6 5.162571 23 20 2 3 2 14 110.839770
201 5 5.197231 25 26 2 3 2 18 110.839770
201 1 5.139278 18 25 1 4 2 17 110.839770
201 4 5.050000 26 26 1 3 2 18 110.839770
221 3 5.197231 20 25 0 4 2 17 111.719266
221 5 5.197231 26 16 3 2 2 11 111.719266
221 1 5.213400 25 29 1 5 2 20 111.719266
221 4 5.050000 26 23 2 3 2 16 111.719266
221 2 5.162571 19 25 1 4 2 17 111.719266
221 6 5.162571 20 29 2 3 2 20 111.719266
241 1 5.213400 29 20 3 3 1 14 112.465463
241 2 5.235083 25 28 3 3 2 19 112.465463
241 6 5.235083 29 29 2 3 2 20 112.465463
241 3 5.197231 25 20 2 3 1 14 112.465463
241 5 5.197231 16 25 1 3 2 17 112.465463
241 4 5.050000 23 29 2 3 2 20 112.465463
261 1 5.213400 20 29 2 2 1 20 113.311781
261 4 5.264572 29 20 2 4 3 14 113.311781
261 5 5.264572 25 22 3 2 2 15 113.311781
261 2 5.235083 28 23 2 3 2 16 113.311781
261 6 5.235083 29 29 2 3 2 20 113.311781
261 3 5.197231 20 28 2 3 2 19 113.311781
281 1 5.292815 29 23 1 3 2 16 113.937791
281 3 5.292815 28 15 2 2 1 10 113.937791
281 6 5.235083 29 29 1 4 2 20 113.937791
281 4 5.264572 20 22 4 2 2 15 113.937791
281 5 5.264572 22 23 1 3 2 16 113.937791
281 2 5.235083 23 19 1 4 2 13 113.937791
301 2 5.235083 19 25 2 4 2 17 114.714983
301 1 5.292815 23 22 2 2 1 15 114.714983
301 6 5.235083 29 25 3 3 2 17 114.714983
301 4 5.333407 22 22 2 2 2 15 114.714983
301 5 5.333407 23 15 1 4 2 10 114.714983
301 3 5.292815 15 18 0 3 1 12 114.714983
321 6 5.235083 25 25 1 4 2 17 115.400578
321 4 5.333407 22 29 0 4 2 20 115.400578
321 3 5.358359 18 19 2 2 1 13 115.400578
321 2 5.358359 25 29 2 4 2 20 115.400578
321 1 5.292815 22 20 1 3 2 14 115.400578
321 5 5.333407 15 15 2 3 1 10 115.400578
341 5 5.333407 15 12 3 1 1 8 116.246479
341 6 5.235083 25 25 2 4 2 17 116.246479
341 4 5.390193 29 29 2 5 3 20 116.246479
341 2 5.358359 29 18 3 2 1 12 116.246479
341 3 5.358359 19 28 0 4 2 19 116.246479
341 1 5.292815 20 20 2 3 2 14 116.246479
361 2 5.358359 18 25 0 4 2 17 116.907080
361 5 5.333407 12 28 1 0 0 19 116.907080
361 1 5.292815 20 29 3 1 1 20 116.907080
361 6 5.235083 25 13 2 4 2 9 116.907080
361 4 5.390193 29 20 2 5 2 14 116.907080
361 3 5.358359 28 13 1 4 1 9 116.907080
381 3 5.358359 13 28 2 3 1 19 117.722578
381 4 5.390193 20 22 4 3 2 15 117.722578
381 6 5.235083 13 22 1 4 1 15 117.722578
381 5 5.411863 28 23 0 2 2 16 117.722578
