IT_NO ID ISLIQUIDSHORT HASLOAN HASINVESTMENT LIQUIDITY_NEED ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_HOUSE_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS DEBT EQUITY
1 6 1 1 0 0.000000 0 0 833.600000 0.000000 1 100.000000 0.560000 1310 671.666667 161.933333
1 5 1 1 0 0.000000 0 0 833.600000 0.000000 1 100.000000 0.560000 1310 671.666667 161.933333
1 4 1 1 0 0.000000 0 0 833.600000 0.000000 1 100.000000 0.560000 1310 671.666667 161.933333
1 3 1 1 0 0.000000 0 0 833.600000 0.000000 1 100.000000 0.560000 1310 671.666667 161.933333
1 2 1 1 0 0.000000 0 0 833.600000 0.000000 1 100.000000 0.560000 1310 671.666667 161.933333
1 1 1 1 0 0.000000 0 0 833.600000 0.000000 1 100.000000 0.560000 1310 671.666667 161.933333
61 3 0 0 0 0.000000 0 0 733.600000 -0.000000 0 103.431188 0.560000 1310 671.666667 61.933333
61 2 0 0 0 0.000000 0 0 733.600000 0.000000 0 103.431188 0.560000 1310 671.666667 61.933333
61 4 0 0 0 0.000000 0 0 733.600000 0.000000 0 103.431188 0.560000 1310 671.666667 61.933333
61 6 0 0 0 0.000000 0 0 733.600000 0.000000 0 103.431188 0.560000 1310 671.666667 61.933333
61 1 0 0 0 0.000000 0 0 733.600000 -0.000000 0 103.431188 0.560000 1310 671.666667 61.933333
61 5 0 0 0 0.000000 0 0 733.600000 0.000000 0 103.431188 0.560000 1310 671.666667 61.933333
121 2 0 0 0 0.000000 0 0 733.600000 0.000000 0 107.308071 0.560000 1310 671.666667 61.933333
121 1 0 0 0 0.000000 0 0 733.600000 -0.000000 0 107.308071 0.560000 1310 671.666667 61.933333
121 3 0 0 0 0.000000 0 0 733.600000 -0.000000 0 107.308071 0.560000 1310 671.666667 61.933333
121 4 0 0 0 0.000000 0 0 733.600000 0.000000 0 107.308071 0.560000 1310 671.666667 61.933333
121 6 0 0 0 0.000000 0 0 733.600000 -0.000000 0 107.308071 0.560000 1310 671.666667 61.933333
121 5 0 0 0 0.000000 0 0 733.600000 0.000000 0 107.308071 0.560000 1310 671.666667 61.933333
181 3 0 0 0 0.000000 0 0 733.600000 0.000000 0 110.682014 0.560000 1310 671.666667 61.933333
181 6 0 0 0 0.000000 0 0 733.600000 -0.000000 0 110.682014 0.560000 1310 671.666667 61.933333
181 5 0 0 0 0.000000 0 0 844.282014 0.000000 1 110.682014 0.560000 1310 671.666667 172.615348
181 2 0 0 0 0.000000 0 0 733.600000 -0.000000 0 110.682014 0.560000 1310 671.666667 61.933333
181 1 0 0 0 0.000000 0 0 733.600000 -0.000000 0 110.682014 0.560000 1310 671.666667 61.933333
181 4 0 0 0 0.000000 0 0 954.964029 -0.000000 2 110.682014 0.560000 1310 671.666667 283.297362
241 2 0 0 0 0.000000 0 0 1296.671684 -0.000000 5 112.614337 0.560000 1310 671.666667 625.005018
241 4 0 0 0 0.000000 0 0 1071.443011 -0.000000 3 112.614337 0.560000 1310 671.666667 399.776344
241 5 0 0 0 0.000000 0 0 958.828674 0.000000 2 112.614337 0.560000 1310 671.666667 287.162007
241 1 0 0 0 0.000000 0 0 1071.443011 -0.000000 3 112.614337 0.560000 1310 671.666667 399.776344
241 6 0 0 0 0.000000 0 0 958.828674 -0.000000 2 112.614337 0.560000 1310 671.666667 287.162007
241 3 0 0 0 0.000000 0 0 846.214337 0.000000 1 112.614337 0.560000 1310 671.666667 174.547670
301 4 0 0 0 0.000000 0 0 963.684877 -0.000000 2 115.042438 0.560000 1310 671.666667 292.018210
301 1 0 0 0 0.000000 0 0 733.600000 -0.000000 0 115.042438 0.560000 1310 671.666667 61.933333
301 5 0 0 0 0.000000 0 0 733.600000 0.000000 0 115.042438 0.560000 1310 671.666667 61.933333
301 6 0 0 0 0.000000 0 0 733.600000 -0.000000 0 115.042438 0.560000 1310 671.666667 61.933333
301 3 0 0 0 0.000000 0 0 1078.727315 -0.000000 3 115.042438 0.560000 1310 671.666667 407.060648
301 2 0 0 0 0.000000 0 0 1078.727315 -0.000000 3 115.042438 0.560000 1310 671.666667 407.060648
361 3 0 0 0 0.000000 0 0 733.600000 0.000000 0 118.778827 0.560000 1310 671.666667 61.933333
361 4 0 0 0 0.000000 0 0 733.600000 -0.000000 0 118.778827 0.560000 1310 671.666667 61.933333
361 2 0 0 0 0.000000 0 0 733.600000 -0.000000 0 118.778827 0.560000 1310 671.666667 61.933333
361 6 0 0 0 0.000000 0 0 852.378827 -0.000000 1 118.778827 0.560000 1310 671.666667 180.712161
361 5 0 0 0 0.000000 0 0 733.600000 0.000000 0 118.778827 0.560000 1310 671.666667 61.933333
361 1 0 0 0 0.000000 0 0 733.600000 -0.000000 0 118.778827 0.560000 1310 671.666667 61.933333
