IT_NO ID DIVIDENDS_PAID DIVIDENDS_TO_BE_PAID
1 1 95.000000 95.000000
1 2 95.000000 95.000000
1 3 95.000000 95.000000
1 4 95.000000 95.000000
1 5 95.000000 95.000000
1 6 95.000000 95.000000
61 2 71.280838 71.280838
61 4 172.637955 172.637955
61 6 67.654484 67.654484
61 1 174.241136 174.241136
61 3 77.229785 77.229785
61 5 174.315770 174.315770
121 2 214.903422 214.903422
121 5 226.528152 226.528152
121 4 194.361027 194.361027
121 6 309.944777 309.944777
121 3 13.778205 13.778205
121 1 217.818255 217.818255
181 1 140.815707 140.815707
181 5 178.456349 178.456349
181 4 217.614961 217.614961
181 3 290.312104 290.312104
181 6 163.385615 163.385615
181 2 17.144021 17.144021
241 1 183.693762 183.693762
241 2 416.567514 416.567514
241 6 291.965060 291.965060
241 3 59.746547 59.746547
241 5 319.227524 319.227524
241 4 178.959471 178.959471
301 2 199.186075 199.186075
301 1 187.555624 187.555624
301 6 227.468386 227.468386
301 4 533.167177 533.167177
301 5 194.539371 194.539371
301 3 120.181508 120.181508
361 2 192.029332 192.029332
361 5 469.301260 469.301260
361 1 369.333619 369.333619
361 6 185.308221 185.308221
361 4 33.034912 33.034912
361 3 0.000000 0.000000
421 2 364.823876 364.823876
421 6 265.501481 265.501481
421 3 233.250641 233.250641
421 4 655.225946 655.225946
421 1 0.000000 0.000000
421 5 0.000000 0.000000
481 3 345.377376 345.377376
481 6 153.960097 153.960097
481 4 78.385569 78.385569
481 1 352.728839 352.728839
481 5 0.000000 0.000000
481 2 0.000000 0.000000
541 3 10.912773 10.912773
541 2 5.189921 5.189921
541 5 98.424787 98.424787
541 6 100.358400 100.358400
541 4 33.697184 33.697184
541 1 0.000000 0.000000
601 2 182.221732 182.221732
601 1 302.230867 302.230867
601 3 266.296747 266.296747
601 6 56.940412 56.940412
601 4 0.000000 0.000000
601 5 0.000000 0.000000
661 4 423.434733 423.434733
661 5 390.955922 390.955922
661 1 16.672014 16.672014
661 6 96.818364 96.818364
661 2 389.462832 389.462832
661 3 0.000000 0.000000
721 1 48.427911 48.427911
721 6 104.711758 104.711758
721 3 0.000000 0.000000
721 5 0.000000 0.000000
721 2 0.000000 0.000000
721 4 0.000000 0.000000
