IT_NO ID REVENUES OPERATING_COSTS LABOUR_COSTS TOTAL_INTEREST_PAYMENTS EBIT NET_EARNINGS
1 1 200.000000 105.000000 100.000000 5.000000 100.000000 95.000000
1 2 200.000000 105.000000 100.000000 5.000000 100.000000 95.000000
1 3 200.000000 105.000000 100.000000 5.000000 100.000000 95.000000
1 4 200.000000 105.000000 100.000000 5.000000 100.000000 95.000000
1 5 200.000000 105.000000 100.000000 5.000000 100.000000 95.000000
1 6 200.000000 105.000000 100.000000 5.000000 100.000000 95.000000
61 5 821.831687 350.968750 348.450000 2.518750 473.381687 470.862937
61 1 818.142031 401.468750 398.950000 2.518750 419.192031 416.673281
61 6 717.313210 304.670061 302.151311 2.518750 415.161899 412.643149
61 4 819.305126 401.468750 398.950000 2.518750 420.355126 417.836376
61 2 614.157805 366.118750 363.600000 2.518750 250.557805 248.039055
61 3 510.364244 299.831409 297.312659 2.518750 213.051585 210.532835
121 5 636.529222 286.906752 282.800000 4.106752 353.729222 349.622469
121 6 638.038236 386.882388 382.775636 4.106752 255.262601 251.155848
121 4 954.046316 386.734915 382.628162 4.106752 571.418153 567.311401
121 3 739.104314 355.317333 351.210580 4.106752 387.893734 383.786982
121 1 954.018478 436.618083 432.511331 4.106752 521.507147 517.400395
121 2 849.759937 274.342194 270.235442 4.106752 579.524495 575.417743
181 4 766.437841 386.844782 379.092224 7.752558 387.345617 379.593059
181 1 879.123743 382.657727 374.905169 7.752558 504.218573 496.466016
181 2 770.164968 356.859619 349.107061 7.752558 421.057907 413.305349
181 5 658.750553 388.032550 380.279992 7.752558 278.470561 270.718003
181 6 766.264142 319.518361 311.765803 7.752558 454.498339 446.745781
181 3 657.768875 330.574834 322.822276 7.752558 334.946599 327.194041
241 3 447.794993 327.686335 324.131693 3.554641 123.663300 120.108659
241 6 562.258839 306.774613 303.219971 3.554641 259.038868 255.484226
241 1 448.454351 353.825987 350.271346 3.554641 98.183005 94.628364
241 5 783.477104 302.725483 299.170842 3.554641 484.306262 480.751621
241 4 784.179007 348.598057 345.043416 3.554641 439.135591 435.580950
241 2 333.826419 313.222706 309.668065 3.554641 24.158355 20.603713
301 2 1024.186349 301.689592 299.170842 2.518750 725.015507 722.496757
301 3 684.148865 339.808197 337.289447 2.518750 346.859418 344.340668
301 6 1030.312346 250.243533 247.724783 2.518750 782.587563 780.068813
301 5 1031.186163 261.356617 258.837867 2.518750 772.348296 769.829546
301 1 1140.491294 333.616720 331.097970 2.518750 809.393324 806.874574
301 4 1143.874832 351.239049 348.720299 2.518750 795.154533 792.635783
361 1 823.461394 334.769586 332.250836 2.518750 491.210558 488.691808
361 5 705.323142 296.967027 294.448277 2.518750 410.874865 408.356115
361 6 704.005897 287.003252 284.484502 2.518750 419.521396 417.002646
361 2 937.793335 302.894686 300.375936 2.518750 637.417399 634.898649
361 4 1054.931653 307.068788 304.550038 2.518750 750.381615 747.862865
361 3 1054.354292 296.382822 293.864072 2.518750 760.490220 757.971470
421 2 607.831081 292.326794 289.808044 2.518750 318.023036 315.504286
421 5 480.596562 291.829164 289.310414 2.518750 191.286147 188.767397
421 4 848.674622 280.695825 278.177075 2.518750 570.497547 567.978797
421 3 725.809361 353.098427 350.579677 2.518750 375.229684 372.710934
421 6 846.692490 235.223605 232.704855 2.518750 613.987636 611.468886
421 1 726.421494 264.332468 261.813718 2.518750 464.607776 462.089026
481 1 374.363318 308.903942 306.385192 2.518750 67.978126 65.459376
481 2 746.454120 382.046485 379.527735 2.518750 366.926385 364.407635
481 3 871.717580 430.617340 428.098590 2.518750 443.618990 441.100240
481 5 495.831149 235.318097 232.799347 2.518750 263.031802 260.513052
481 6 372.189739 285.680656 283.161906 2.518750 89.027833 86.509083
481 4 622.177054 346.754793 344.236043 2.518750 277.941011 275.422261
541 2 764.762292 309.843707 306.862627 2.981080 457.899665 454.918585
541 5 764.288764 270.190224 267.209144 2.981080 497.079621 494.098540
541 4 506.832837 299.415941 296.434861 2.981080 210.397977 207.416896
541 3 1019.164237 323.483867 320.502787 2.981080 698.661451 695.680370
541 1 891.914034 257.914604 254.933523 2.981080 636.980511 633.999430
541 6 896.186094 263.714835 260.733754 2.981080 635.452339 632.471259
601 1 523.755100 371.618739 369.099989 2.518750 154.655112 152.136362
601 6 264.379789 394.687488 392.168738 2.518750 -127.788949 -130.307699
601 3 524.148010 273.576554 271.057804 2.518750 253.090206 250.571456
601 5 525.121991 308.109929 305.591179 2.518750 219.530812 217.012062
601 2 527.153884 250.549092 248.030342 2.518750 279.123542 276.604792
601 4 920.157895 329.621225 327.102475 2.518750 593.055420 590.536670
661 2 671.653295 370.508717 367.989967 2.518750 303.663328 301.144578
661 1 537.600790 312.347250 309.828500 2.518750 227.772290 225.253540
661 5 942.191441 480.264909 477.746159 2.518750 464.445282 461.926532
661 6 1209.496640 434.309235 431.301831 3.007404 778.194809 775.187405
661 4 539.432420 358.641390 356.122640 2.518750 183.309780 180.791030
661 3 946.444460 335.289085 332.770335 2.518750 613.674125 611.155375
721 1 1109.105553 346.023682 343.504932 2.518750 765.600621 763.081871
721 5 829.384986 329.421688 326.902938 2.518750 502.482048 499.963298
721 6 830.429383 306.328540 303.321136 3.007404 527.108248 524.100844
721 3 417.704002 318.143179 315.624429 2.518750 102.079573 99.560823
721 4 688.525896 344.631899 342.113149 2.518750 346.412747 343.893997
721 2 973.580150 304.451507 301.932757 2.518750 671.647393 669.128643
781 5 1001.746839 260.774909 256.367940 4.406969 745.378899 740.971930
781 3 1003.463019 352.255142 347.848173 4.406969 655.614846 651.207877
781 6 717.086077 305.131065 299.869115 5.261950 417.216962 411.955012
781 1 863.122144 342.716351 338.309382 4.406969 524.812762 520.405793
781 2 713.494130 489.668606 485.261637 4.406969 228.232492 223.825523
781 4 1139.564106 427.087847 422.680878 4.406969 716.883228 712.476259
841 6 147.525451 242.197220 240.729595 1.467625 -93.204144 -94.671769
841 3 438.718363 345.134352 338.415974 6.718379 100.302389 93.584011
841 1 734.976069 492.806777 486.088398 6.718379 248.887670 242.169292
841 2 1021.982901 338.648103 331.929724 6.718379 690.053177 683.334798
841 5 441.317278 332.828317 326.109938 6.718379 115.207340 108.488961
841 4 291.665525 271.068392 264.350014 6.718379 27.315511 20.597132
901 5 599.637926 509.112070 499.002753 10.109316 100.635172 90.525856
901 2 750.689369 369.167985 359.058669 10.109316 391.630700 381.521384
901 1 596.399400 209.776369 199.667053 10.109316 396.732347 386.623031
901 4 1042.672207 372.670645 362.561329 10.109316 680.110878 670.001562
901 6 751.733619 353.435192 349.801906 3.633286 401.931713 398.298427
901 3 896.825121 321.666057 311.556741 10.109316 585.268380 575.159064
961 1 759.546206 399.202127 392.937444 6.264682 366.608762 360.344080
961 4 303.997161 284.158198 277.893515 6.264682 26.103645 19.838963
961 3 456.500033 303.105483 296.840801 6.264682 159.659233 153.394550
961 2 763.356865 461.827460 455.562778 6.264682 307.794087 301.529405
961 6 609.754950 294.254609 292.003083 2.251526 317.751866 315.500341
961 5 1217.436099 359.133259 352.868576 6.264682 864.567523 858.302841
1021 4 927.636745 374.437617 371.781163 2.656453 555.855581 553.199128
1021 3 776.321930 361.546116 358.889662 2.656453 417.432267 414.775814
1021 5 621.385341 219.785376 217.128923 2.656453 404.256418 401.599964
1021 6 926.373598 320.261968 319.307239 0.954729 607.066358 606.111629
1021 1 776.107673 335.914637 333.258184 2.656453 442.849489 440.193036
1021 2 1090.095266 419.307757 416.651304 2.656453 673.443962 670.787509
1081 4 1114.563408 291.711478 286.775287 4.936191 827.788122 822.851931
1081 6 791.113003 466.855820 465.081754 1.774066 326.031250 324.257184
1081 1 949.236217 279.558219 274.622028 4.936191 674.614189 669.677998
1081 5 952.354138 424.567250 419.631059 4.936191 532.723079 527.786888
1081 2 1434.290307 382.958160 378.021969 4.936191 1056.268339 1051.332148
1081 3 1428.577200 435.099121 430.162930 4.936191 998.414270 993.478079
