IT_NO DIVIDENDS_RECIEVED DIVIDENDS_PAID SHARE_FIRMS SHARE_CONSTRUCTION_FIRMS SHARE_BANKS DIVIDENDS_RETAINED LIQUIDITY
60 3395.536750 3395.536750 490.350000 570.000000 2335.186750 0.000000 0.000000
120 4665.319063 4665.319063 3276.760378 737.359968 651.198718 0.000000 0.000000
180 4772.804226 4772.804226 1369.027993 1177.333837 2226.442396 0.000000 0.000000
240 5473.238428 5473.238428 2240.614459 1007.728755 2224.895214 0.000000 0.000000
300 6372.713003 6372.713003 2679.106850 1450.159879 2243.446275 -0.000000 0.000000
360 4870.904572 4870.904572 1164.640714 1462.098141 2244.165716 0.000000 0.000000
420 5579.954740 5579.954740 2084.560147 1249.007344 2246.387249 0.000000 0.000000
480 5433.953611 5433.953611 1655.500476 1518.801944 2259.651191 0.000000 0.000000
540 4579.767425 4579.767425 2197.367624 930.451880 1451.947921 0.000000 0.000000
600 2503.276804 2503.276804 933.772338 248.583064 1320.921402 0.000000 0.000000
660 5955.080024 5955.080024 2920.708107 807.689759 2226.682158 0.000000 0.000000
720 5552.259817 5552.259817 1998.775015 1317.343865 2236.140938 0.000000 0.000000
