IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_GOODS_PRICE
1 30 5.000000 58 58 58000 5800 58000 52200 0.005593
1 29 5.000000 61 61 61000 6100 61000 54900 0.005593
1 28 5.000000 67 67 67000 6700 67000 60300 0.005593
1 27 5.000000 49 49 49000 4900 49000 44100 0.005593
1 26 5.000000 53 53 53000 5300 53000 47700 0.005593
1 25 5.000000 57 57 57000 5700 57000 51300 0.005593
1 24 5.000000 65 65 65000 6500 65000 58500 0.005593
1 23 5.000000 47 47 47000 4700 47000 42300 0.005593
1 22 5.000000 58 58 58000 5800 58000 52200 0.005593
1 21 5.000000 70 70 70000 7000 70000 63000 0.005593
1 20 5.000000 59 59 59000 5900 59000 53100 0.005593
1 19 5.000000 63 63 63000 6300 63000 56700 0.005593
1 18 5.000000 53 53 53000 5300 53000 47700 0.005593
1 17 5.000000 64 64 64000 6400 64000 57600 0.005593
1 16 5.000000 72 72 72000 7200 72000 64800 0.005593
1 15 5.000000 74 74 74000 7400 74000 66600 0.005593
1 14 5.000000 51 51 51000 5100 51000 45900 0.005593
1 13 5.000000 58 58 58000 5800 58000 52200 0.005593
1 12 5.000000 55 55 55000 5500 55000 49500 0.005593
1 11 5.000000 62 62 62000 6200 62000 55800 0.005593
1 10 5.000000 44 44 44000 4400 44000 39600 0.005593
1 9 5.000000 53 53 53000 5300 53000 47700 0.005593
1 8 5.000000 54 54 54000 5400 54000 48600 0.005593
1 7 5.000000 54 54 54000 5400 54000 48600 0.005593
21 7 5.000000 49 49 56768 2632 49000 50290 0.005601
21 8 5.000000 49 49 45412 13988 49000 44100 0.005600
21 9 5.000000 48 48 53260 5040 48000 48547 0.005601
21 12 5.000000 50 50 50936 9564 50000 45000 0.005600
21 13 5.000000 53 53 49837 13963 53000 47700 0.005599
21 14 5.000000 46 46 50498 5602 46000 41400 0.005601
21 16 5.000000 65 65 53403 25797 65000 58500 0.005600
21 17 5.000000 58 58 46407 23993 58000 52200 0.005599
21 18 5.000000 48 48 45345 12955 48000 43200 0.005600
21 19 5.000000 57 57 49759 19541 57000 51300 0.005600
21 21 5.000000 63 63 43698 33302 63000 56700 0.005599
21 22 5.000000 53 53 56906 6894 53000 47700 0.005600
21 23 5.000000 43 43 51700 0 43000 45773 0.005601
21 24 5.000000 59 59 50908 20592 59000 53100 0.005599
21 26 5.000000 48 48 47568 10732 48000 43200 0.005600
21 27 5.000000 45 45 47425 6475 45000 40500 0.005600
21 28 5.000000 61 61 42454 31246 61000 54900 0.005599
