IT_NO ID ISLIQUIDSHORT HASLOAN HASINVESTMENT LIQUIDITY_NEED ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_GOODS_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS DEBT EQUITY
1 30 1 1 0 0.000000 0 0 2416.960000 0.000000 5800 0.005600 0.560000 4258 1947.833333 469.126667
1 29 1 1 0 0.000000 0 0 2541.840000 0.000000 6100 0.005600 0.560000 4478 2048.583333 493.256667
1 28 1 1 0 0.000000 0 0 2792.160000 0.000000 6700 0.005600 0.560000 4919 2250.083333 542.076667
1 27 1 1 0 0.000000 0 0 2041.760000 0.000000 4900 0.005600 0.560000 3597 1645.583333 396.176667
1 26 1 1 0 0.000000 0 0 2208.640000 0.000000 5300 0.005600 0.560000 3891 1779.916667 428.723333
1 25 1 1 0 0.000000 0 0 2375.520000 0.000000 5700 0.005600 0.560000 4185 1914.250000 461.270000
1 24 1 1 0 0.000000 0 0 2708.720000 0.000000 6500 0.005600 0.560000 4772 2182.916667 525.803333
1 23 1 1 0 0.000000 0 0 1958.880000 0.000000 4700 0.005600 0.560000 3451 1578.416667 380.463333
1 22 1 1 0 0.000000 0 0 2416.960000 0.000000 5800 0.005600 0.560000 4258 1947.833333 469.126667
1 21 1 1 0 0.000000 0 0 2917.040000 0.000000 7000 0.005600 0.560000 5139 2350.833333 566.206667
1 20 1 1 0 0.000000 0 0 2458.400000 0.000000 5900 0.005600 0.560000 4331 1981.416667 476.983333
1 19 1 1 0 0.000000 0 0 2625.280000 0.000000 6300 0.005600 0.560000 4625 2115.750000 509.530000
1 18 1 1 0 0.000000 0 0 2208.640000 0.000000 5300 0.005600 0.560000 3891 1779.916667 428.723333
1 17 1 1 0 0.000000 0 0 2666.720000 0.000000 6400 0.005600 0.560000 4698 2149.333333 517.386667
1 16 1 1 0 0.000000 0 0 3000.480000 0.000000 7200 0.005600 0.560000 5286 2418.000000 582.480000
1 15 1 1 0 0.000000 0 0 3083.360000 0.000000 7400 0.005600 0.560000 5432 2485.166667 598.193333
1 14 1 1 0 0.000000 0 0 2125.200000 0.000000 5100 0.005600 0.560000 3744 1712.750000 412.450000
1 13 1 1 0 0.000000 0 0 2416.960000 0.000000 5800 0.005600 0.560000 4258 1947.833333 469.126667
1 12 1 1 0 0.000000 0 0 2292.080000 0.000000 5500 0.005600 0.560000 4038 1847.083333 444.996667
1 11 1 1 0 0.000000 0 0 2583.840000 0.000000 6200 0.005600 0.560000 4552 2082.166667 501.673333
1 10 1 1 0 0.000000 0 0 1833.440000 0.000000 4400 0.005600 0.560000 3230 1477.666667 355.773333
1 9 1 1 0 0.000000 0 0 2208.640000 0.000000 5300 0.005600 0.560000 3891 1779.916667 428.723333
1 8 1 1 0 0.000000 0 0 2250.080000 0.000000 5400 0.005600 0.560000 3964 1813.500000 436.580000
1 7 1 1 0 0.000000 0 0 2250.080000 0.000000 5400 0.005600 0.560000 3964 1813.500000 436.580000
