IT_NO ID DIVIDENDS_PAID DIVIDENDS_TO_BE_PAID
1 7 18.900000 18.900000
1 8 18.900000 18.900000
1 9 18.550000 18.550000
1 10 15.400000 15.400000
1 11 21.700000 21.700000
1 12 19.250000 19.250000
1 13 20.300000 20.300000
1 14 17.850000 17.850000
1 15 25.900000 25.900000
1 16 25.200000 25.200000
1 17 22.400000 22.400000
1 18 18.550000 18.550000
1 19 22.050000 22.050000
1 20 20.650000 20.650000
1 21 24.500000 24.500000
1 22 20.300000 20.300000
1 23 16.450000 16.450000
1 24 22.750000 22.750000
1 25 19.950000 19.950000
1 26 18.550000 18.550000
1 27 17.150000 17.150000
1 28 23.450000 23.450000
1 29 21.350000 21.350000
1 30 20.300000 20.300000
61 11 186.026907 186.026907
61 28 123.064435 123.064435
61 24 161.335735 161.335735
61 21 46.780109 46.780109
61 19 210.800875 210.800875
61 17 161.324759 161.324759
61 12 184.111875 184.111875
61 10 97.123311 97.123311
61 23 99.055699 99.055699
61 18 142.138759 142.138759
61 27 119.360582 119.360582
61 25 145.151643 145.151643
61 30 152.362768 152.362768
61 29 157.797173 157.797173
61 26 147.205082 147.205082
61 22 157.429091 157.429091
61 14 132.782832 132.782832
61 8 129.084591 129.084591
61 7 117.726511 117.726511
61 9 120.115879 120.115879
61 20 168.471957 168.471957
61 13 186.392690 186.392690
61 16 123.264508 123.264508
61 15 82.634863 82.634863
121 26 29.285650 29.285650
121 25 42.337288 42.337288
121 27 51.998672 51.998672
121 18 49.376939 49.376939
121 11 39.186718 39.186718
121 14 52.023859 52.023859
121 9 39.898528 39.898528
121 19 25.733462 25.733462
121 22 55.241603 55.241603
121 8 75.385936 75.385936
121 13 40.413333 40.413333
121 20 1.203883 1.203883
121 23 54.829694 54.829694
121 24 89.622052 89.622052
121 17 90.051050 90.051050
121 12 33.335150 33.335150
121 10 49.934303 49.934303
121 7 64.752945 64.752945
121 28 163.537237 163.537237
121 21 209.632205 209.632205
121 16 155.650650 155.650650
121 15 195.341643 195.341643
121 29 0.000000 0.000000
121 30 0.000000 0.000000
181 29 176.435956 176.435956
181 22 24.205413 24.205413
181 7 90.483454 90.483454
181 15 163.747050 163.747050
181 27 49.112923 49.112923
181 25 100.823483 100.823483
181 10 43.575532 43.575532
181 18 25.853082 25.853082
181 30 171.334963 171.334963
181 8 77.974928 77.974928
181 26 83.579873 83.579873
181 11 58.127298 58.127298
181 19 93.838787 93.838787
181 13 76.600236 76.600236
181 23 77.071328 77.071328
181 28 97.850732 97.850732
181 16 126.686835 126.686835
181 20 132.078480 132.078480
181 17 48.581177 48.581177
181 14 91.545877 91.545877
181 21 137.869099 137.869099
181 9 74.769289 74.769289
181 12 71.227746 71.227746
181 24 0.000000 0.000000
241 24 176.243062 176.243062
241 18 134.070289 134.070289
241 17 160.506252 160.506252
241 22 169.124539 169.124539
241 27 87.372049 87.372049
241 10 82.131898 82.131898
241 26 81.582307 81.582307
241 12 60.134526 60.134526
241 30 60.063604 60.063604
241 7 81.704844 81.704844
241 25 44.847353 44.847353
241 20 105.414313 105.414313
241 19 40.108818 40.108818
241 15 74.205797 74.205797
241 11 153.085563 153.085563
241 29 68.314616 68.314616
241 16 82.261799 82.261799
241 14 44.858488 44.858488
241 28 53.919388 53.919388
241 23 59.641921 59.641921
241 21 83.850518 83.850518
241 13 76.393313 76.393313
241 8 85.866268 85.866268
241 9 134.036837 134.036837
301 20 86.875879 86.875879
301 7 47.914881 47.914881
301 21 110.259128 110.259128
301 30 62.815910 62.815910
301 16 76.573614 76.573614
301 19 117.361471 117.361471
301 29 82.126168 82.126168
301 28 19.411069 19.411069
301 22 55.894793 55.894793
301 13 47.828000 47.828000
301 17 66.460651 66.460651
301 18 36.843955 36.843955
301 14 43.289562 43.289562
301 11 48.656300 48.656300
301 15 43.048209 43.048209
301 8 45.066727 45.066727
301 9 79.173572 79.173572
301 26 58.855153 58.855153
301 23 93.646168 93.646168
301 24 182.611863 182.611863
301 12 65.008310 65.008310
301 25 48.593446 48.593446
301 27 25.627509 25.627509
301 10 30.787473 30.787473
361 25 232.443346 232.443346
361 12 152.325540 152.325540
361 19 120.975458 120.975458
361 16 112.009880 112.009880
361 26 122.934071 122.934071
361 13 115.139323 115.139323
361 11 79.004954 79.004954
361 24 41.875092 41.875092
361 9 50.597730 50.597730
361 21 37.293590 37.293590
361 15 82.523384 82.523384
361 23 71.290876 71.290876
361 30 104.428928 104.428928
361 7 144.891658 144.891658
361 29 111.520554 111.520554
361 22 90.704499 90.704499
361 20 68.462766 68.462766
361 18 125.997431 125.997431
361 10 141.332771 141.332771
361 17 49.425444 49.425444
361 14 101.113054 101.113054
361 28 131.878499 131.878499
361 27 155.369203 155.369203
361 8 91.809757 91.809757
421 25 32.928709 32.928709
421 26 49.977675 49.977675
421 8 27.214637 27.214637
421 14 46.412762 46.412762
421 18 55.949201 55.949201
421 22 53.213584 53.213584
421 29 52.944494 52.944494
421 7 55.961795 55.961795
421 23 58.320133 58.320133
421 15 59.997737 59.997737
421 21 52.688873 52.688873
421 9 55.124234 55.124234
421 19 37.244707 37.244707
421 11 52.719912 52.719912
421 17 54.533089 54.533089
421 10 69.602409 69.602409
421 12 26.532481 26.532481
421 20 50.564575 50.564575
421 16 45.856991 45.856991
421 28 76.110638 76.110638
421 24 52.219200 52.219200
421 27 69.665377 69.665377
421 13 56.012170 56.012170
421 30 40.400186 40.400186
481 22 29.339810 29.339810
481 18 3.371064 3.371064
481 9 29.890401 29.890401
481 17 66.302946 66.302946
481 28 11.877248 11.877248
481 11 121.488670 121.488670
481 8 124.182658 124.182658
481 20 98.808351 98.808351
481 21 74.649875 74.649875
481 24 51.067932 51.067932
481 12 49.225438 49.225438
481 29 17.242735 17.242735
481 14 98.771802 98.771802
481 10 51.845433 51.845433
481 27 51.908401 51.908401
481 16 31.236695 31.236695
481 25 49.250625 49.250625
481 26 38.932735 38.932735
481 30 170.363678 170.363678
481 15 123.624972 123.624972
481 19 43.389475 43.389475
481 13 43.644049 43.644049
481 7 33.421056 33.421056
481 23 79.050981 79.050981
541 21 31.394759 31.394759
541 15 36.269582 36.269582
541 19 142.652219 142.652219
541 26 78.375794 78.375794
541 29 138.584664 138.584664
541 17 122.146600 122.146600
541 24 111.059458 111.059458
541 22 155.829168 155.829168
541 18 154.981447 154.981447
541 28 151.669668 151.669668
541 16 99.331140 99.331140
541 13 88.718322 88.718322
541 25 41.644597 41.644597
541 12 53.097731 53.097731
541 20 52.703197 52.703197
541 27 48.303488 48.303488
541 30 51.157170 51.157170
541 11 79.201934 79.201934
541 23 119.385016 119.385016
541 8 81.814285 81.814285
541 7 158.371172 158.371172
541 9 193.411908 193.411908
541 10 16.371361 16.371361
541 14 106.887483 106.887483
601 16 49.274806 49.274806
601 13 72.210229 72.210229
601 28 8.068685 8.068685
601 19 64.673495 64.673495
601 23 40.716870 40.716870
601 12 131.212459 131.212459
601 18 57.576832 57.576832
601 29 48.650118 48.650118
601 15 130.408701 130.408701
601 21 111.577184 111.577184
601 17 73.209892 73.209892
601 25 120.667016 120.667016
601 24 75.217555 75.217555
601 22 96.778333 96.778333
601 7 69.686869 69.686869
601 26 143.836258 143.836258
601 20 47.027097 47.027097
601 11 63.367497 63.367497
601 30 27.178026 27.178026
601 27 65.305210 65.305210
601 10 153.192627 153.192627
601 9 67.452117 67.452117
601 14 122.523246 122.523246
601 8 0.000000 0.000000
661 21 108.055993 108.055993
661 24 57.015724 57.015724
661 26 41.654499 41.654499
661 28 141.386040 141.386040
661 8 159.238356 159.238356
661 25 92.541178 92.541178
661 23 131.239985 131.239985
661 14 61.385976 61.385976
661 7 40.121968 40.121968
661 22 30.396684 30.396684
661 18 64.995074 64.995074
661 12 33.283370 33.283370
661 19 15.672240 15.672240
661 9 33.356971 33.356971
661 10 65.293061 65.293061
661 17 42.858582 42.858582
661 11 43.334337 43.334337
661 27 132.597281 132.597281
661 20 133.483245 133.483245
661 29 112.771708 112.771708
661 16 118.803503 118.803503
661 30 124.408294 124.408294
661 13 146.977180 146.977180
661 15 0.000000 0.000000
721 22 99.066501 99.066501
721 12 81.931925 81.931925
721 11 95.087841 95.087841
721 15 133.203168 133.203168
721 27 60.143339 60.143339
721 16 63.110740 63.110740
721 19 121.203407 121.203407
721 26 102.999426 102.999426
721 24 108.663346 108.663346
721 21 83.708921 83.708921
721 18 101.499036 101.499036
721 20 65.787988 65.787988
721 29 71.393084 71.393084
721 13 36.835378 36.835378
721 30 56.162423 56.162423
721 10 47.791776 47.791776
721 23 44.788745 44.788745
721 25 43.309166 43.309166
721 17 48.157726 48.157726
721 9 44.601617 44.601617
721 8 83.399863 83.399863
721 14 67.213788 67.213788
721 7 86.733056 86.733056
721 28 115.153289 115.153289
781 18 18.645704 18.645704
781 20 59.822873 59.822873
781 9 33.687437 33.687437
781 28 23.484974 23.484974
781 8 0.801890 0.801890
781 25 17.547863 17.547863
781 23 27.256835 27.256835
781 29 42.605753 42.605753
781 16 17.407802 17.407802
781 15 32.125359 32.125359
781 26 41.558913 41.558913
781 21 23.077725 23.077725
781 12 21.929617 21.929617
781 10 32.890595 32.890595
781 24 33.698066 33.698066
781 19 31.979966 31.979966
781 13 45.775618 45.775618
781 11 43.341515 43.341515
781 22 35.694066 35.694066
781 27 16.938891 16.938891
781 7 61.786023 61.786023
781 14 15.021671 15.021671
781 17 0.000000 0.000000
781 30 0.000000 0.000000
841 12 139.960342 139.960342
841 11 94.914002 94.914002
841 15 112.254148 112.254148
841 26 61.099063 61.099063
841 30 178.254107 178.254107
841 29 94.660931 94.660931
841 16 121.089207 121.089207
841 27 126.238293 126.238293
841 17 167.293052 167.293052
841 28 39.834488 39.834488
841 24 81.178521 81.178521
841 22 73.617941 73.617941
841 19 112.662682 112.662682
841 25 108.702997 108.702997
841 21 102.045128 102.045128
841 7 71.074335 71.074335
841 9 94.053493 94.053493
841 23 96.629073 96.629073
841 18 155.390514 155.390514
841 14 183.228745 183.228745
841 20 72.509327 72.509327
841 13 84.336771 84.336771
841 10 75.740483 75.740483
841 8 173.451096 173.451096
901 13 59.864378 59.864378
901 18 49.168962 49.168962
901 23 55.076666 55.076666
901 19 42.467460 42.467460
901 17 39.331153 39.331153
901 16 49.408243 49.408243
901 30 29.945066 29.945066
901 28 40.459858 40.459858
901 24 50.144049 50.144049
901 11 31.204825 31.204825
901 15 53.657455 53.657455
901 26 56.479208 56.479208
901 29 43.385237 43.385237
901 27 37.434748 37.434748
901 21 43.789939 43.789939
901 20 31.167044 31.167044
901 8 38.205198 38.205198
901 14 32.440685 32.440685
901 9 72.386383 72.386383
901 7 47.573828 47.573828
901 22 51.764641 51.764641
901 25 60.289977 60.289977
901 12 33.759161 33.759161
901 10 144.061143 144.061143
961 13 25.384328 25.384328
961 15 21.623438 21.623438
961 28 75.820540 75.820540
961 16 56.106159 56.106159
961 17 59.905230 59.905230
961 27 71.142091 71.142091
961 21 72.511462 72.511462
961 12 25.636550 25.636550
961 26 1.496838 1.496838
961 8 59.924618 59.924618
961 14 41.772204 41.772204
961 30 37.511392 37.511392
961 10 16.990607 16.990607
961 24 20.853442 20.853442
961 22 66.311478 66.311478
961 29 20.111690 20.111690
961 25 14.090973 14.090973
961 9 7.662396 7.662396
961 7 42.484108 42.484108
961 18 0.000000 0.000000
961 23 0.000000 0.000000
