IT_NO ID REVENUES OPERATING_COSTS LABOUR_COSTS TOTAL_INTEREST_PAYMENTS EBIT NET_EARNINGS
1 7 356.440000 351.750000 335.000000 16.750000 21.440000 4.690000
1 8 255.360000 252.000000 240.000000 12.000000 15.360000 3.360000
1 9 276.640000 273.000000 260.000000 13.000000 16.640000 3.640000
1 10 361.760000 357.000000 340.000000 17.000000 21.760000 4.760000
1 11 255.360000 252.000000 240.000000 12.000000 15.360000 3.360000
1 12 271.320000 267.750000 255.000000 12.750000 16.320000 3.570000
1 13 191.520000 189.000000 180.000000 9.000000 11.520000 2.520000
1 14 340.480000 336.000000 320.000000 16.000000 20.480000 4.480000
1 15 383.040000 378.000000 360.000000 18.000000 23.040000 5.040000
1 16 356.440000 351.750000 335.000000 16.750000 21.440000 4.690000
1 17 287.280000 283.500000 270.000000 13.500000 17.280000 3.780000
1 18 281.960000 278.250000 265.000000 13.250000 16.960000 3.710000
1 19 239.400000 236.250000 225.000000 11.250000 14.400000 3.150000
1 20 255.360000 252.000000 240.000000 12.000000 15.360000 3.360000
1 21 292.600000 288.750000 275.000000 13.750000 17.600000 3.850000
1 22 329.840000 325.500000 310.000000 15.500000 19.840000 4.340000
1 23 324.520000 320.250000 305.000000 15.250000 19.520000 4.270000
1 24 276.640000 273.000000 260.000000 13.000000 16.640000 3.640000
1 25 223.440000 220.500000 210.000000 10.500000 13.440000 2.940000
1 26 276.640000 273.000000 260.000000 13.000000 16.640000 3.640000
1 27 287.280000 283.500000 270.000000 13.500000 17.280000 3.780000
1 28 308.560000 304.500000 290.000000 14.500000 18.560000 4.060000
1 29 324.520000 320.250000 305.000000 15.250000 19.520000 4.270000
1 30 271.320000 267.750000 255.000000 12.750000 16.320000 3.570000
61 10 1078.016250 853.563750 845.000000 8.563750 233.016250 224.452500
61 15 1136.252500 899.067500 890.000000 9.067500 246.252500 237.185000
61 16 1060.707188 838.437812 830.000000 8.437812 230.707188 222.269375
61 22 979.661875 772.808125 765.000000 7.808125 214.661875 206.853750
61 29 962.352813 757.682188 750.000000 7.682188 212.352813 204.670625
61 14 1014.280000 803.060000 795.000000 8.060000 219.280000 211.220000
61 21 869.498438 686.926563 680.000000 6.926563 189.498438 182.571875
61 7 1060.707188 877.356936 868.919124 8.437812 191.788064 183.350251
61 27 857.689375 725.169696 718.369071 6.800625 139.320304 132.519679
61 28 921.425625 780.948472 773.644097 7.304375 147.781528 140.477153
61 11 794.997247 690.993015 684.948015 6.045000 110.049232 104.004232
61 12 836.042757 721.585959 715.163146 6.422813 120.879611 114.456798
61 13 608.756048 538.459892 533.926142 4.533750 74.829905 70.296155
61 25 701.906228 614.753345 609.463970 5.289375 92.442258 87.152883
61 9 823.071250 689.711552 683.162802 6.548750 139.908448 133.359698
61 24 823.071250 689.711552 683.162802 6.548750 139.908448 133.359698
61 18 840.380313 715.043759 708.369071 6.674688 132.011241 125.336554
61 30 805.762188 679.585614 673.162802 6.422813 132.599386 126.176573
61 20 764.835000 644.001532 637.956532 6.045000 126.878468 120.833468
