IT_NO ID MORTGAGES MORTGAGE_COST HOUSING_UNITS HOUSING_VALUE EQUITY_RATIO LIQUIDITY
1 60 341.230859 0.350714 6 605.722174 0.501643 -0.350714
1 66 341.530603 0.351969 6 605.722174 0.501643 -0.351969
1 68 341.755412 0.352911 6 605.722174 0.501643 -0.352911
1 69 341.630518 0.352388 6 605.722174 0.501643 -0.352388
1 77 341.180901 0.350504 6 605.722174 0.501643 -0.350504
1 96 342.180050 0.354689 6 605.722174 0.501643 -0.354689
1 100 341.480646 0.351760 6 605.722174 0.501643 -0.351760
1 105 341.730433 0.352806 6 605.722174 0.501643 -0.352806
1 110 341.605539 0.352283 6 605.722174 0.501643 -0.352283
1 115 342.180050 0.354689 6 605.722174 0.501643 -0.354689
1 119 341.355752 0.351237 6 605.722174 0.501643 -0.351237
1 122 342.005199 0.353957 6 605.722174 0.501643 -0.353957
1 124 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 128 341.830348 0.353225 6 605.722174 0.501643 -0.353225
1 143 342.279965 0.355108 6 605.722174 0.501643 -0.355108
1 144 342.180050 0.354689 6 605.722174 0.501643 -0.354689
1 145 341.980220 0.353852 6 605.722174 0.501643 -0.353852
1 146 341.955241 0.353748 6 605.722174 0.501643 -0.353748
1 198 342.479794 0.355945 6 605.722174 0.501643 -0.355945
1 226 342.354901 0.355422 6 605.722174 0.501643 -0.355422
1 230 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 235 341.205880 0.350609 6 605.722174 0.501643 -0.350609
1 243 341.330774 0.351132 6 605.722174 0.501643 -0.351132
1 250 341.830348 0.353225 6 605.722174 0.501643 -0.353225
1 261 342.379879 0.355526 6 605.722174 0.501643 -0.355526
1 266 342.055156 0.354166 6 605.722174 0.501643 -0.354166
1 268 342.105114 0.354375 6 605.722174 0.501643 -0.354375
1 271 341.580561 0.352178 6 605.722174 0.501643 -0.352178
1 276 342.205028 0.354794 6 605.722174 0.501643 -0.354794
1 280 342.105114 0.354375 6 605.722174 0.501643 -0.354375
1 291 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 293 341.555582 0.352074 6 605.722174 0.501643 -0.352074
1 297 341.080987 0.350086 6 605.722174 0.501643 -0.350086
1 300 341.680476 0.352597 6 605.722174 0.501643 -0.352597
1 310 342.454816 0.355840 6 605.722174 0.501643 -0.355840
1 315 341.705454 0.352701 6 605.722174 0.501643 -0.352701
1 319 342.354901 0.355422 6 605.722174 0.501643 -0.355422
1 326 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 335 341.355752 0.351237 6 605.722174 0.501643 -0.351237
1 337 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 339 342.130092 0.354480 6 605.722174 0.501643 -0.354480
1 340 341.880305 0.353434 6 605.722174 0.501643 -0.353434
1 342 342.329922 0.355317 6 605.722174 0.501643 -0.355317
1 352 341.405710 0.351446 6 605.722174 0.501643 -0.351446
1 353 342.379879 0.355526 6 605.722174 0.501643 -0.355526
1 359 341.155923 0.350400 6 605.722174 0.501643 -0.350400
1 365 342.105114 0.354375 6 605.722174 0.501643 -0.354375
1 368 340.956093 0.349563 6 605.722174 0.501643 -0.349563
1 369 341.130944 0.350295 6 605.722174 0.501643 -0.350295
1 375 341.830348 0.353225 6 605.722174 0.501643 -0.353225
1 376 342.180050 0.354689 6 605.722174 0.501643 -0.354689
1 378 342.230007 0.354899 6 605.722174 0.501643 -0.354899
1 393 340.781242 0.348830 6 605.722174 0.501643 -0.348830
1 398 340.956093 0.349563 6 605.722174 0.501643 -0.349563
1 401 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 402 340.806221 0.348935 6 605.722174 0.501643 -0.348935
1 418 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 427 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 442 341.305795 0.351027 6 605.722174 0.501643 -0.351027
1 445 341.280816 0.350923 6 605.722174 0.501643 -0.350923
1 447 341.555582 0.352074 6 605.722174 0.501643 -0.352074
1 451 342.329922 0.355317 6 605.722174 0.501643 -0.355317
1 452 341.680476 0.352597 6 605.722174 0.501643 -0.352597
1 463 341.655497 0.352492 6 605.722174 0.501643 -0.352492
1 466 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 467 341.980220 0.353852 6 605.722174 0.501643 -0.353852
1 476 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 477 341.905284 0.353538 6 605.722174 0.501643 -0.353538
1 478 342.479794 0.355945 6 605.722174 0.501643 -0.355945
1 479 342.055156 0.354166 6 605.722174 0.501643 -0.354166
1 487 342.230007 0.354899 6 605.722174 0.501643 -0.354899
1 489 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 491 340.856178 0.349144 6 605.722174 0.501643 -0.349144
1 494 341.380731 0.351341 6 605.722174 0.501643 -0.351341
1 496 341.655497 0.352492 6 605.722174 0.501643 -0.352492
1 497 341.730433 0.352806 6 605.722174 0.501643 -0.352806
1 498 342.130092 0.354480 6 605.722174 0.501643 -0.354480
1 502 340.956093 0.349563 6 605.722174 0.501643 -0.349563
1 515 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 542 342.030177 0.354062 6 605.722174 0.501643 -0.354062
1 543 342.130092 0.354480 6 605.722174 0.501643 -0.354480
1 545 341.230859 0.350714 6 605.722174 0.501643 -0.350714
1 548 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 551 342.030177 0.354062 6 605.722174 0.501643 -0.354062
1 558 342.030177 0.354062 6 605.722174 0.501643 -0.354062
1 562 341.380731 0.351341 6 605.722174 0.501643 -0.351341
1 575 341.605539 0.352283 6 605.722174 0.501643 -0.352283
1 580 342.055156 0.354166 6 605.722174 0.501643 -0.354166
1 582 341.930263 0.353643 6 605.722174 0.501643 -0.353643
1 587 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 592 341.205880 0.350609 6 605.722174 0.501643 -0.350609
1 593 341.105965 0.350190 6 605.722174 0.501643 -0.350190
1 595 342.080135 0.354271 6 605.722174 0.501643 -0.354271
1 602 341.105965 0.350190 6 605.722174 0.501643 -0.350190
1 603 341.880305 0.353434 6 605.722174 0.501643 -0.353434
1 611 341.355752 0.351237 6 605.722174 0.501643 -0.351237
1 618 342.279965 0.355108 6 605.722174 0.501643 -0.355108
1 619 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 621 340.856178 0.349144 6 605.722174 0.501643 -0.349144
1 624 341.255838 0.350818 6 605.722174 0.501643 -0.350818
1 631 341.505625 0.351864 6 605.722174 0.501643 -0.351864
1 643 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 645 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 649 341.705454 0.352701 6 605.722174 0.501643 -0.352701
1 656 341.530603 0.351969 6 605.722174 0.501643 -0.351969
1 672 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 673 341.305795 0.351027 6 605.722174 0.501643 -0.351027
1 676 340.831199 0.349040 6 605.722174 0.501643 -0.349040
1 683 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 685 341.730433 0.352806 6 605.722174 0.501643 -0.352806
1 699 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 707 341.155923 0.350400 6 605.722174 0.501643 -0.350400
1 718 342.479794 0.355945 6 605.722174 0.501643 -0.355945
1 723 340.981072 0.349667 6 605.722174 0.501643 -0.349667
1 733 341.905284 0.353538 6 605.722174 0.501643 -0.353538
1 734 341.655497 0.352492 6 605.722174 0.501643 -0.352492
1 737 341.930263 0.353643 6 605.722174 0.501643 -0.353643
1 741 342.379879 0.355526 6 605.722174 0.501643 -0.355526
1 743 341.155923 0.350400 6 605.722174 0.501643 -0.350400
1 744 341.155923 0.350400 6 605.722174 0.501643 -0.350400
1 752 257.500000 0.000000 5 504.768478 0.501643 16.697768
1 758 257.500000 0.000000 5 504.768478 0.501643 16.697768
