IT_NO ID MY_EMPLOYER_ID WAGE unemployment_benefit general_benefit
20 1271 6 5.050000 0.000000 1.500000
20 1275 1 5.050000 0.000000 1.500000
20 1354 2 5.050000 0.000000 1.500000
20 1395 3 5.050000 0.000000 1.500000
20 1397 3 5.050000 0.000000 1.500000
20 1400 3 5.050000 0.000000 1.500000
20 1405 4 5.050000 0.000000 1.500000
20 1412 5 5.050000 0.000000 1.500000
20 1423 15 5.000000 0.000000 1.500000
20 1426 16 5.000000 0.000000 1.500000
20 1430 17 5.000000 0.000000 1.500000
20 1435 20 5.000000 0.000000 1.500000
20 1436 20 5.000000 0.000000 1.500000
20 1439 21 5.000000 0.000000 1.500000
20 1440 23 5.000000 0.000000 1.500000
20 1443 24 5.000000 0.000000 1.500000
20 1444 24 5.000000 0.000000 1.500000
20 1446 24 5.000000 0.000000 1.500000
20 1447 24 5.000000 0.000000 1.500000
20 1449 25 5.000000 0.000000 1.500000
20 1451 28 5.000000 0.000000 1.500000
20 1454 28 5.000000 0.000000 1.500000
20 1456 28 5.000000 0.000000 1.500000
20 1458 30 5.000000 0.000000 1.500000
20 1462 7 5.000000 0.000000 1.500000
20 1463 7 5.000000 0.000000 1.500000
20 1464 7 5.000000 0.000000 1.500000
20 1467 9 5.000000 0.000000 1.500000
20 1468 10 5.000000 0.000000 1.500000
20 1473 10 5.000000 0.000000 1.500000
20 1474 11 5.000000 0.000000 1.500000
20 1475 11 5.000000 0.000000 1.500000
20 1482 0 0.000000 2.500000 1.500000
20 1483 0 0.000000 2.500000 1.500000
20 1484 0 0.000000 2.500000 1.500000
20 1485 0 0.000000 2.500000 1.500000
20 1488 0 0.000000 2.500000 1.500000
20 1489 0 0.000000 2.500000 1.500000
20 1490 0 0.000000 2.500000 1.500000
20 1491 0 0.000000 2.500000 1.500000
20 1492 0 0.000000 2.500000 1.500000
20 1495 0 0.000000 2.500000 1.500000
20 1496 0 0.000000 2.500000 1.500000
20 1498 0 0.000000 2.500000 1.500000
20 1499 0 0.000000 2.500000 1.500000
20 1501 0 0.000000 2.500000 1.500000
20 1503 0 0.000000 2.500000 1.500000
20 1504 0 0.000000 2.500000 1.500000
20 1506 0 0.000000 2.500000 1.500000
20 1507 0 0.000000 2.500000 1.500000
20 1508 0 0.000000 2.500000 1.500000
20 1509 0 0.000000 2.500000 1.500000
20 1510 0 0.000000 2.500000 1.500000
20 1511 0 0.000000 2.500000 1.500000
20 1514 0 0.000000 2.500000 1.500000
20 1516 0 0.000000 2.500000 1.500000
20 1519 0 0.000000 2.500000 1.500000
20 1521 0 0.000000 2.500000 1.500000
20 1522 0 0.000000 2.500000 1.500000
20 1523 0 0.000000 2.500000 1.500000
20 1524 0 0.000000 2.500000 1.500000
20 1525 0 0.000000 2.500000 1.500000
20 1526 0 0.000000 2.500000 1.500000
20 1527 0 0.000000 2.500000 1.500000
20 1529 0 0.000000 2.500000 1.500000
20 1535 0 0.000000 2.500000 1.500000
20 1536 0 0.000000 2.500000 1.500000
20 1537 0 0.000000 2.500000 1.500000
20 1538 0 0.000000 2.500000 1.500000
20 1540 0 0.000000 2.500000 1.500000
20 1541 0 0.000000 2.500000 1.500000
20 1542 0 0.000000 2.500000 1.500000
20 1543 0 0.000000 2.500000 1.500000
20 1546 0 0.000000 2.500000 1.500000
20 1547 0 0.000000 2.500000 1.500000
20 1548 0 0.000000 2.500000 1.500000
20 1550 0 0.000000 2.500000 1.500000
20 1551 0 0.000000 2.500000 1.500000
20 1552 0 0.000000 2.500000 1.500000
20 1553 0 0.000000 2.500000 1.500000
20 1554 0 0.000000 2.500000 1.500000
20 1556 0 0.000000 2.500000 1.500000
20 1557 0 0.000000 2.500000 1.500000
20 1559 0 0.000000 2.500000 1.500000
20 1560 0 0.000000 2.500000 1.500000
20 1561 0 0.000000 2.500000 1.500000
20 1564 0 0.000000 2.500000 1.500000
20 1567 0 0.000000 2.500000 1.500000
20 1568 0 0.000000 2.500000 1.500000
20 1569 0 0.000000 2.500000 1.500000
20 1570 0 0.000000 2.500000 1.500000
20 1574 0 0.000000 2.500000 1.500000
20 1575 0 0.000000 2.500000 1.500000
20 1576 0 0.000000 2.500000 1.500000
20 1577 0 0.000000 2.500000 1.500000
20 1578 0 0.000000 2.500000 1.500000
20 1579 0 0.000000 2.500000 1.500000
20 1580 0 0.000000 2.500000 1.500000
20 1581 0 0.000000 2.500000 1.500000
20 1584 0 0.000000 2.500000 1.500000
20 1585 0 0.000000 2.500000 1.500000
20 1587 0 0.000000 2.500000 1.500000
20 1589 0 0.000000 2.500000 1.500000
20 1591 0 0.000000 2.500000 1.500000
20 1593 0 0.000000 2.500000 1.500000
20 1596 0 0.000000 2.500000 1.500000
20 1597 0 0.000000 2.500000 1.500000
20 1598 0 0.000000 2.500000 1.500000
20 1599 0 0.000000 2.500000 1.500000
20 1600 0 0.000000 2.500000 1.500000
20 1602 0 0.000000 2.500000 1.500000
20 1604 0 0.000000 2.500000 1.500000
20 1606 0 0.000000 2.500000 1.500000
20 1607 0 0.000000 2.500000 1.500000
20 1608 0 0.000000 2.500000 1.500000
20 1610 0 0.000000 2.500000 1.500000
20 1612 0 0.000000 2.500000 1.500000
20 1614 0 0.000000 2.500000 1.500000
20 1615 0 0.000000 2.500000 1.500000
20 1616 0 0.000000 2.500000 1.500000
20 1617 0 0.000000 2.500000 1.500000
20 1618 0 0.000000 2.500000 1.500000
20 1619 0 0.000000 2.500000 1.500000
20 1620 0 0.000000 2.500000 1.500000
20 1621 0 0.000000 2.500000 1.500000
20 1622 0 0.000000 2.500000 1.500000
20 1624 0 0.000000 2.500000 1.500000
20 1626 0 0.000000 2.500000 1.500000
20 1629 0 0.000000 2.500000 1.500000
20 1630 0 0.000000 2.500000 1.500000
20 1631 0 0.000000 2.500000 1.500000
20 1632 0 0.000000 2.500000 1.500000
20 1633 0 0.000000 2.500000 1.500000
20 1634 0 0.000000 2.500000 1.500000
20 1497 29 5.000000 0.000000 1.500000
20 1472 26 5.000000 0.000000 1.500000
20 1471 22 5.000000 0.000000 1.500000
20 1459 26 5.000000 0.000000 1.500000
20 1448 22 5.000000 0.000000 1.500000
