IT_NO ID LOANS MORTGAGES DEPOSITS EQUITY INTERESTS_PAID
60 1637 23709.833333 195920.728183 10397.231581 25413.989813 1057.719750
60 1638 27370.416667 207013.437669 11215.843445 26656.928265 1107.343500
120 1638 27370.859978 204232.590359 10061.935440 27431.050566 247.239417
120 1637 23709.833333 194915.191006 8227.018250 26163.160114 236.188896
180 1637 23728.966371 197839.401529 8850.151485 26172.338871 230.476517
180 1638 27370.859978 201598.198683 11221.857261 27414.056125 246.403909
240 1638 27370.859978 199781.564111 11406.839273 27405.477097 244.370789
240 1637 23773.045666 199447.110475 9158.037431 26183.487838 231.932362
300 1637 23773.045666 200168.777633 9258.421748 26190.734264 234.832625
300 1638 27370.859978 199631.829789 11180.516480 27404.930428 239.627898
360 1638 27389.603900 200598.799537 12749.555041 27400.744144 237.125877
360 1637 23773.045666 199300.681167 9691.807479 26193.174293 236.512503
420 1637 23773.045666 200761.404022 10456.573119 26201.646494 237.289106
420 1638 27389.603900 199765.738825 12516.483199 27398.581954 237.221612
480 1638 27582.367811 197324.480843 13868.507531 27385.185462 236.492456
480 1637 23773.045666 203853.322421 10402.682790 26214.063209 235.662253
540 1637 23248.102053 200463.210016 10821.958795 25459.488192 236.532200
540 1638 26997.763198 198637.280477 12206.211483 26522.458539 235.742470
600 1638 27391.654120 198207.889035 11324.060292 27389.367086 231.241822
600 1637 23356.407646 199687.403922 9536.596433 26192.881150 240.464461
660 1637 23390.957276 199179.515090 9145.443462 26188.081824 235.046546
660 1638 26980.991340 197606.276424 10693.888801 26652.818173 234.229936
720 1638 26683.786787 198453.907725 11110.103079 26651.554057 235.288249
720 1637 23390.957276 197171.771973 8736.189379 26179.197375 235.818873
780 1637 23390.957276 195981.218516 8731.861099 26168.388913 235.716140
780 1638 27138.740421 199234.213046 9941.984689 27394.822419 234.810620
840 1638 26694.571444 198708.340043 10885.195660 26475.466409 234.978385
840 1637 23401.685972 196615.005425 9971.184352 26168.644324 233.718029
