IT_NO TRANSACTION_QUANTITY AVG_GOODS_PRICE
5 259696 0.005861
10 259696 0.005861
15 259696 0.005861
20 335351 0.005861
25 291478 0.005891
30 292069 0.005891
35 282471 0.005890
40 390381 0.005889
45 286457 0.005917
50 286885 0.005919
55 264068 0.005917
60 385697 0.005911
65 334162 0.005895
70 331030 0.005895
75 317649 0.005899
80 103959 0.005902
85 302924 0.005926
90 296096 0.005927
95 260183 0.005927
100 276047 0.005933
105 294202 0.005976
110 287105 0.005976
115 215597 0.005976
120 325046 0.005976
125 285048 0.006029
130 280139 0.006030
135 277554 0.006029
140 312971 0.006033
145 265629 0.006080
150 259064 0.006080
155 228822 0.006080
160 307462 0.006080
165 265015 0.006096
170 261277 0.006095
175 197780 0.006095
180 320328 0.006097
185 255498 0.006177
190 253298 0.006177
195 247535 0.006177
200 294541 0.006177
205 249888 0.006206
210 240985 0.006203
215 184144 0.006203
220 294770 0.006204
225 234266 0.006232
230 226582 0.006230
235 159861 0.006232
240 290534 0.006230
245 281381 0.006176
250 282112 0.006176
255 279060 0.006177
260 310116 0.006177
265 265120 0.006163
270 265202 0.006163
275 242020 0.006166
280 282848 0.006171
285 254451 0.006189
290 253441 0.006188
295 222953 0.006192
300 165955 0.006188
305 292010 0.006191
310 292641 0.006192
315 292522 0.006191
320 50977 0.006193
325 294455 0.006238
330 284514 0.006241
335 262259 0.006238
340 89772 0.006240
345 284397 0.006268
350 275099 0.006267
355 244575 0.006269
360 156379 0.006273
365 273941 0.006318
370 273244 0.006318
375 269847 0.006318
380 166218 0.006313
385 268052 0.006345
390 267415 0.006345
395 249761 0.006346
400 220822 0.006349
405 272400 0.006396
410 268902 0.006396
415 239691 0.006396
420 247857 0.006395
425 286219 0.006425
430 280947 0.006426
435 277957 0.006425
440 206527 0.006429
445 277750 0.006475
450 274512 0.006474
455 253898 0.006475
460 268290 0.006473
465 273610 0.006504
470 271680 0.006505
475 240092 0.006506
480 311868 0.006503
485 273186 0.006555
490 267466 0.006553
495 265262 0.006555
500 311932 0.006553
505 277058 0.006585
510 275980 0.006584
515 255008 0.006584
520 324440 0.006584
525 272637 0.006633
530 270534 0.006632
535 243234 0.006631
540 334801 0.006635
545 295428 0.006674
550 289215 0.006673
555 286280 0.006673
560 324189 0.006677
565 271103 0.006708
570 265725 0.006710
575 242192 0.006708
580 324800 0.006709
585 275058 0.006734
590 269833 0.006735
595 225629 0.006736
600 334635 0.006735
605 279618 0.006746
610 272771 0.006746
615 270975 0.006746
620 326114 0.006747
625 278222 0.006769
630 275300 0.006766
635 256231 0.006770
640 344802 0.006770
645 276547 0.006798
650 273538 0.006800
655 245084 0.006801
660 318673 0.006801
665 296526 0.006843
670 289985 0.006843
675 285061 0.006843
680 222828 0.006848
685 287337 0.006891
690 278611 0.006890
695 254712 0.006889
700 310790 0.006893
705 286718 0.006931
710 279439 0.006930
715 238973 0.006932
720 344370 0.006928
725 290234 0.006978
730 285102 0.006977
735 282853 0.006978
740 315061 0.006981
745 298438 0.007018
750 291592 0.007019
755 269775 0.007017
760 336245 0.007020
765 286612 0.007067
770 281531 0.007069
775 253116 0.007067
780 349464 0.007069
785 301747 0.007142
790 298673 0.007140
795 295176 0.007142
800 353303 0.007140
805 300197 0.007169
810 291077 0.007169
815 268201 0.007169
820 364831 0.007168
825 301032 0.007184
830 292484 0.007184
835 260008 0.007183
840 354198 0.007189
845 298628 0.007287
850 296736 0.007286
855 288278 0.007286
860 331408 0.007288
865 296154 0.007312
870 288289 0.007314
875 272580 0.007313
880 349676 0.007317
885 292977 0.007372
890 284596 0.007373
895 256243 0.007372
900 353803 0.007372
905 307043 0.007449
910 304856 0.007446
915 294122 0.007448
920 353971 0.007447
925 300189 0.007486
930 294309 0.007489
935 267113 0.007488
940 349745 0.007492
945 291480 0.007529
950 285550 0.007533
955 240708 0.007529
960 349209 0.007535
965 329908 0.007482
970 328356 0.007481
975 320464 0.007485
980 212459 0.007475
985 319439 0.007508
990 312982 0.007508
995 302455 0.007508
1000 218424 0.007508
1005 321045 0.007558
1010 314573 0.007559
1015 295905 0.007560
1020 263577 0.007562
1025 322203 0.007527
1030 321885 0.007529
1035 318060 0.007530
1040 255752 0.007526
1045 324763 0.007579
1050 316145 0.007581
1055 300126 0.007580
1060 300616 0.007581
1065 323152 0.007625
1070 308581 0.007625
1075 281767 0.007625
1080 350950 0.007622
1085 317555 0.007721
1090 315528 0.007720
1095 308132 0.007722
1100 346985 0.007721
1105 329574 0.007764
1110 308882 0.007764
1115 273896 0.007764
1120 391348 0.007762
1125 326707 0.007818
1130 305917 0.007818
1135 255336 0.007819
1140 387906 0.007819
1145 330608 0.007929
1150 327418 0.007928
1155 305768 0.007930
1160 371521 0.007931
1165 318185 0.007964
1170 307489 0.007959
1175 251968 0.007961
1180 365514 0.007961
1185 308670 0.007990
1190 298477 0.007992
1195 239032 0.007995
1200 362573 0.008000
1205 348613 0.007945
1210 349059 0.007945
1215 342761 0.007946
1220 313428 0.007947
1225 351001 0.007955
1230 342524 0.007956
1235 328219 0.007958
1240 104956 0.007983
1245 350088 0.008009
1250 346530 0.008010
1255 328569 0.008008
1260 179413 0.008007
1265 358232 0.008005
1270 358054 0.008005
1275 356278 0.008006
1280 123486 0.008015
1285 344998 0.008061
1290 339766 0.008062
1295 320433 0.008062
1300 223153 0.008063
1305 352961 0.008104
1310 340929 0.008105
1315 311992 0.008106
1320 245268 0.008112
1325 340343 0.008200
1330 339660 0.008199
1335 333831 0.008199
1340 261066 0.008199
1345 336428 0.008242
1350 324826 0.008240
1355 301833 0.008242
1360 334613 0.008247
1365 338820 0.008302
1370 322625 0.008303
1375 290186 0.008302
1380 371719 0.008299
1385 331844 0.008410
