IT_NO HHFireA HHRegularA FirmA HHFireS HHRegularS FirmS
1 0 295 12 0 229 11
21 0 255 12 0 255 12
41 0 300 10 0 280 8
61 0 281 14 0 281 14
81 0 289 12 0 274 11
101 0 296 13 0 246 11
121 0 287 14 0 238 11
141 0 278 15 0 230 12
161 0 247 15 0 193 14
181 0 300 13 0 167 6
201 0 270 19 0 197 10
221 0 279 21 0 180 12
241 0 287 18 0 166 15
261 0 288 14 0 144 6
281 0 302 17 0 153 8
301 0 271 15 0 141 10
321 0 277 8 0 127 1
341 0 284 16 0 143 5
361 0 285 16 0 151 6
381 0 296 19 0 110 10
401 0 285 19 0 130 11
421 0 320 17 0 128 7
441 0 270 20 0 132 11
461 0 282 16 0 128 6
481 0 268 15 0 118 5
501 0 278 17 0 126 7
521 0 279 15 0 128 7
541 0 290 14 0 142 7
561 0 282 18 0 115 9
581 0 291 14 0 140 8
601 0 260 10 0 130 6
621 0 308 10 0 116 6
641 0 306 12 0 149 7
661 0 268 8 0 145 3
681 0 267 11 0 125 4
701 0 295 15 0 144 4
721 0 281 19 0 121 9
741 0 298 16 0 124 6
761 0 280 14 0 102 2
781 0 267 15 0 113 5
801 0 298 13 0 100 6
821 0 277 15 0 115 3
841 0 290 18 0 102 3
861 0 262 20 0 81 5
881 0 275 22 0 89 8
901 0 261 21 0 76 2
921 0 266 28 0 72 10
941 0 285 26 0 59 7
961 0 279 25 0 57 3
981 0 293 27 0 80 8
1001 0 260 25 0 69 6
1021 0 302 28 0 79 8
1041 0 265 26 0 75 9
1061 0 273 24 0 65 4
1081 0 283 28 0 88 9
1101 0 282 26 0 70 6
1121 0 274 27 0 59 2
1141 0 310 29 0 52 3
1161 0 325 33 0 64 6
1181 0 279 34 0 46 7
1201 0 258 32 0 66 12
1221 0 260 26 0 44 8
1241 0 274 23 0 55 4
1261 0 273 30 0 57 5
1281 0 286 32 0 39 6
1301 0 276 33 0 47 3
1321 0 279 35 0 34 5
1341 0 285 38 0 35 5
1361 0 267 39 0 39 8
1381 0 284 39 0 49 7
1401 0 277 37 0 31 4
1421 0 289 38 0 32 2
1441 0 262 45 0 33 8
1461 0 269 43 0 38 5
1481 0 286 46 0 52 6
1501 0 300 46 0 51 10
1521 0 283 41 0 30 3
1541 0 269 49 0 32 3
1561 0 270 55 0 29 6
1581 0 268 55 0 30 7
1601 0 297 56 0 29 6
1621 0 272 55 0 49 9
1641 0 281 52 0 44 9
1661 0 260 47 0 42 5
1681 0 270 49 0 31 9
1701 0 273 45 0 35 5
1721 0 285 49 0 36 4
1741 0 262 51 0 15 6
1761 0 292 51 0 27 6
1781 0 299 52 0 32 2
1801 0 287 56 0 37 6
1821 0 268 61 0 31 5
1841 0 275 60 0 33 6
1861 0 278 60 0 26 2
1881 0 283 64 0 26 4
1901 0 258 66 0 22 8
1921 0 272 65 0 26 1
1941 0 304 73 0 38 5
1961 0 294 74 0 29 7
1981 0 275 75 0 31 11
2001 0 261 71 0 34 10
2021 0 268 68 0 25 8
2041 0 251 64 0 43 12
2061 0 284 59 0 45 6
2081 0 287 59 0 36 8
2101 0 277 38 0 37 4
2121 0 302 36 0 41 6
2141 0 295 36 0 43 6
2161 0 306 30 0 39 4
2181 0 287 31 0 50 5
2201 0 281 34 0 52 8
2221 0 291 25 0 64 7
2241 0 294 24 0 62 3
2261 0 309 30 0 57 10
2281 0 300 18 0 43 2
2301 0 287 17 0 62 2
2321 0 277 24 0 65 7
2341 0 268 21 0 74 9
2361 0 302 20 0 76 3
2381 0 309 24 0 61 3
2401 0 286 31 0 63 3
2421 0 284 33 0 39 6
2441 0 288 32 0 56 5
2461 0 305 32 0 36 4
2481 0 263 35 0 49 5
2501 0 301 37 0 56 7
2521 0 280 37 0 59 4
2541 0 291 40 0 56 13
2561 0 273 34 0 58 9
2581 0 289 30 0 68 3
2601 0 284 33 0 75 5
2621 0 292 33 0 54 9
2641 0 282 17 0 74 6
2661 0 269 14 0 78 6
2681 0 249 14 0 95 8
2701 0 276 6 0 51 1
2721 0 303 11 0 30 2
2741 0 282 14 0 39 2
2761 0 298 21 0 33 2
2781 0 287 25 0 32 4
2801 0 300 29 0 28 4
2821 0 289 33 0 70 11
2841 0 284 28 0 63 6
2861 0 307 28 0 62 2
2881 0 270 35 0 88 9
2901 0 286 29 0 91 9
2921 0 287 27 0 95 7
2941 0 248 25 0 105 15
2961 0 288 15 0 107 6
2981 0 295 20 0 100 9
3001 0 258 8 0 112 2
3021 0 292 9 0 115 5
3041 0 283 11 0 133 6
3061 0 275 6 0 107 2
3081 0 274 10 0 92 6
3101 0 271 11 0 89 1
3121 0 266 16 0 96 5
3141 0 274 18 0 73 4
3161 0 279 22 0 73 7
3181 0 282 19 0 83 7
3201 0 290 19 0 88 6
3221 0 277 20 0 109 5
3241 0 276 21 0 102 7
3261 0 249 20 0 94 8
3281 0 302 22 0 108 7
3301 0 289 15 0 90 6
3321 0 272 13 0 110 5
3341 0 260 13 0 115 4
3361 0 271 15 0 94 2
3381 0 290 19 0 101 2
3401 0 281 24 0 101 7
3421 0 304 26 0 111 14
3441 0 259 20 0 131 8
3461 0 275 18 0 94 7
3481 0 269 15 0 141 5
3501 0 256 13 0 103 4
3521 0 271 13 0 133 5
3541 0 284 16 0 82 4
3561 0 265 16 0 87 6
3581 0 261 17 0 98 6
