IT_NO TRANSACTION_QUANTITY AVG_HOUSING_PRICE
1 230 100.953696
21 303 102.211036
41 270 103.376715
61 283 104.661252
81 296 105.914801
101 280 107.081282
121 220 108.085534
141 212 109.071560
161 205 109.919126
181 191 110.839770
201 188 111.719266
221 166 112.465463
241 189 113.311781
261 152 113.937791
281 151 114.714983
301 149 115.400578
321 156 116.246479
341 145 116.907080
361 164 117.722578
381 159 118.431134
401 148 119.211140
421 174 119.918870
441 184 120.891419
461 199 121.839869
481 135 122.595051
501 152 123.339292
521 177 124.338897
541 129 125.208306
561 146 125.980781
581 124 126.611447
601 215 127.775978
621 168 128.660142
641 176 129.722502
661 161 130.566302
681 156 131.342586
701 150 132.189965
